date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-01-10,16.72,17.12,17.0,16.62,82768.54,0.38,2.29,16.508,16.386,16.265,74723.74,65024.11,52714.15
2020-01-09,16.42,16.66,16.62,16.29,61817.53,0.37,2.28,16.404,16.282,16.233,67417.6,61276.29,50256.6
2020-01-08,16.41,16.58,16.25,16.21,52489.1,-0.33,-1.99,16.39,16.196,16.222,69570.83,61601.15,48476.48
2020-01-07,16.09,16.78,16.58,16.05,99526.24,0.49,3.04,16.42,16.17,16.233,75875.15,59342.09,48783.61
2020-01-06,16.35,16.36,16.09,16.04,77017.3,-0.39,-2.37,16.284,16.107,16.214,63787.31,52291.56,46664.14
2020-01-03,16.55,16.59,16.48,16.36,46237.85,-0.07,-0.42,16.264,16.089,16.191,55324.48,49278.75,44101.26
2020-01-02,16.43,16.65,16.55,16.15,72583.65,0.15,0.92,16.16,16.063,16.141,55134.98,48424.23,43114.97
2019-12-31,15.99,16.45,16.4,15.88,84010.71,0.5,3.15,16.002,16.037,16.083,53631.47,45090.76,40813.62
2019-12-30,15.99,16.09,15.9,15.7,39087.06,-0.09,-0.56,15.92,16.049,16.028,42809.04,40616.53,38478.01
2019-12-27,15.96,16.25,15.99,15.86,34703.14,0.03,0.19,15.93,16.106,15.995,40795.81,40393.61,38198.7
2019-12-26,15.84,16.06,15.96,15.69,45290.33,0.2,1.27,15.914,16.144,15.963,43233.02,40404.18,37746.98
2019-12-25,15.96,16.08,15.76,15.62,65066.13,-0.23,-1.44,15.966,16.184,15.934,41713.49,39236.91,37994.42
2019-12-24,15.95,16.08,15.99,15.81,29898.52,0.04,0.25,16.072,16.247,15.906,36550.05,35351.81,36153.24
2019-12-23,15.94,16.13,15.95,15.85,29020.92,0.04,0.25,16.178,16.296,15.877,38424.02,38225.14,36379.06
2019-12-20,16.35,16.35,15.91,15.9,46889.19,-0.31,-1.91,16.282,16.32,15.837,39991.41,41036.72,37460.88
2019-12-19,16.26,16.31,16.22,16.08,37692.69,-0.07,-0.43,16.374,16.292,15.807,37575.35,38923.78,38020.59
2019-12-18,16.57,16.57,16.29,16.2,39248.91,-0.23,-1.39,16.402,16.218,15.784,36760.34,37805.71,38542.29
2019-12-17,16.48,16.65,16.52,16.36,39268.39,0.05,0.3,16.422,16.128,15.783,34153.57,36536.48,38705.59
2019-12-16,16.41,16.56,16.47,16.3,36857.85,0.1,0.61,16.414,16.006,15.775,38026.25,36339.49,38730.44
2019-12-13,16.36,16.48,16.37,16.2,34808.9,0.01,0.06,16.358,15.884,15.769,42082.04,36003.79,38269.78
2019-12-12,16.42,16.52,16.36,16.07,33617.63,-0.03,-0.18,16.21,15.782,15.758,40272.2,35089.78,38380.4
2019-12-11,16.32,16.55,16.39,16.32,26215.08,-0.09,-0.55,16.034,15.684,15.757,38851.08,36751.93,38119.5
2019-12-10,16.35,16.66,16.48,16.05,58631.79,0.29,1.79,15.834,15.565,15.743,38919.38,36954.66,38338.62
2019-12-09,15.95,16.58,16.19,15.9,57136.79,0.56,3.58,15.598,15.457,15.725,34652.74,34532.99,37752.19
2019-12-06,15.48,15.69,15.63,15.41,25759.72,0.15,0.97,15.41,15.353,15.727,29925.55,33885.04,37245.66
2019-12-05,15.4,15.63,15.48,15.34,26512.0,0.09,0.58,15.354,15.321,15.775,29907.36,37117.4,39001.38
2019-12-04,15.15,15.64,15.39,15.15,26556.6,0.09,0.59,15.334,15.349,15.851,34652.79,39278.88,41000.74
2019-12-03,15.15,15.35,15.3,14.77,37298.57,0.05,0.33,15.296,15.438,15.907,34989.95,40874.71,41839.77
2019-12-02,15.55,15.55,15.25,15.09,33500.86,-0.1,-0.65,15.316,15.543,15.984,34413.25,41121.39,43036.94
2019-11-29,15.32,15.5,15.35,15.2,25668.75,-0.03,-0.2,15.296,15.653,16.043,37844.53,40535.77,44528.51
2019-11-28,15.55,15.8,15.38,15.25,50239.17,0.18,1.18,15.288,15.733,16.085,44327.44,41671.01,45536.83
2019-11-27,15.3,15.53,15.2,15.15,28242.39,-0.2,-1.3,15.364,15.829,16.111,43904.98,39487.08,45670.37
2019-11-26,15.23,15.66,15.4,15.05,34415.06,0.25,1.65,15.58,15.921,16.16,46759.48,39722.58,47089.5
2019-11-25,15.24,15.62,15.15,15.0,50657.27,-0.16,-1.04,15.77,15.992,16.22,47829.53,40971.38,50498.18
2019-11-22,15.9,16.03,15.31,15.14,58083.3,-0.45,-2.85,16.01,16.1,16.285,43227.01,40606.29,51953.97
2019-11-21,16.18,16.25,15.76,15.68,48126.86,-0.52,-3.19,16.178,16.229,16.322,39014.59,40885.37,51971.68
2019-11-20,16.19,16.39,16.28,16.03,42514.9,-0.07,-0.43,16.294,16.353,16.339,35069.17,42722.6,53991.05
2019-11-19,16.27,16.65,16.35,16.15,39765.33,0.0,0.0,16.262,16.375,16.359,32685.67,42804.82,60697.55
2019-11-18,16.0,16.39,16.35,15.98,27644.68,0.2,1.24,16.214,16.424,16.362,34113.23,44952.49,64505.9
2019-11-15,16.34,16.53,16.15,16.05,37021.18,-0.19,-1.16,16.19,16.432,16.327,37985.56,48521.25,69580.21
2019-11-14,16.03,16.36,16.34,16.0,28399.78,0.22,1.36,16.28,16.437,16.328,42756.15,49402.65,77783.41
2019-11-13,16.01,16.26,16.12,15.87,30597.4,0.01,0.06,16.412,16.392,16.261,50376.02,51853.67,78721.66
2019-11-12,16.21,16.39,16.11,15.7,46903.09,-0.12,-0.74,16.488,16.399,16.204,52923.96,54456.43,81636.43
2019-11-11,16.58,16.62,16.23,16.08,47006.34,-0.37,-2.23,16.634,16.448,16.144,55791.75,60024.98,81247.78
2019-11-08,17.22,17.28,16.6,16.46,60874.14,-0.4,-2.35,16.674,16.47,16.084,59056.93,63301.66,81861.08
2019-11-07,16.46,17.03,17.0,16.4,66499.14,0.5,3.03,16.594,16.415,15.999,56049.15,63057.98,82343.76
2019-11-06,16.9,16.99,16.5,16.47,43337.09,-0.34,-2.02,16.372,16.324,15.894,53331.32,65259.5,83592.65
2019-11-05,16.51,16.96,16.84,16.4,61242.05,0.41,2.5,16.31,16.342,15.77,55988.9,78590.29,83179.66
2019-11-04,16.21,16.85,16.43,16.21,63332.24,0.23,1.42,16.262,16.3,15.641,64258.2,84059.31,81619.31
2019-11-01,15.79,16.3,16.2,15.77,45835.24,0.31,1.95,16.266,16.221,15.542,67546.39,90639.18,80019.4
2019-10-31,16.1,16.36,15.89,15.76,52909.98,-0.3,-1.85,16.236,16.218,15.442,70066.81,106164.17,78980.69
2019-10-30,16.45,16.71,16.19,16.13,56624.99,-0.41,-2.47,16.276,16.129,15.358,77187.69,105589.65,78373.53
2019-10-29,16.38,17.18,16.6,16.16,102588.57,0.15,0.91,16.374,16.009,15.274,101191.67,108816.43,78218.15
2019-10-28,16.0,16.45,16.45,15.6,79773.19,0.4,2.49,16.338,15.84,15.17,103860.41,102470.57,75089.86
2019-10-25,16.0,16.3,16.05,15.83,58437.32,-0.04,-0.25,16.176,15.697,15.085,113731.97,100420.49,73900.18
2019-10-24,16.32,16.58,16.09,15.88,88514.37,-0.59,-3.54,16.2,15.582,15.006,142261.53,101629.55,73839.97
2019-10-23,16.8,17.48,16.68,16.0,176644.92,0.26,1.58,15.982,15.463,14.912,133991.61,101925.79,71203.32
2019-10-22,15.64,16.5,16.42,15.52,115932.24,0.78,4.99,15.644,15.198,14.793,116441.18,87769.03,65725.59
2019-10-21,16.0,16.05,15.64,15.35,129131.02,-0.53,-3.28,15.342,14.981,14.666,101080.74,79179.31,61517.61
2019-10-18,15.07,16.45,16.17,15.07,201085.12,1.17,7.8,15.218,14.863,14.582,87109.0,69399.61,56074.46
2019-10-17,14.75,15.24,15.0,14.65,47164.76,0.01,0.07,14.964,14.666,14.467,60997.56,51797.22,47561.11
2019-10-16,15.0,15.6,14.99,14.9,88892.77,0.08,0.54,14.944,14.587,14.416,69859.97,51157.42,47258.69
2019-10-15,15.0,15.12,14.91,14.83,39130.02,-0.11,-0.73,14.752,14.539,14.372,59096.89,47619.87,44999.71
2019-10-14,15.06,15.19,15.02,14.86,59272.34,0.12,0.81,14.62,14.499,14.339,57277.88,47709.15,46628.67
2019-10-11,14.98,15.05,14.9,14.74,70527.91,0.0,0.0,14.508,14.472,14.285,51690.21,47379.86,46320.53
2019-10-10,14.09,14.98,14.9,14.09,91476.81,0.87,6.2,14.368,14.43,14.24,42596.87,46050.4,46559.28
2019-10-09,14.25,14.28,14.03,13.8,35077.35,-0.22,-1.54,14.23,14.36,14.191,32454.87,40480.84,44767.82
2019-10-08,14.56,14.65,14.25,14.16,30035.0,-0.21,-1.45,14.326,14.387,14.176,36142.86,43682.14,45462.18
2019-09-30,14.17,14.65,14.46,14.08,31334.0,0.26,1.83,14.378,14.351,14.137,38140.43,43855.92,46373.66
2019-09-27,14.28,14.44,14.2,14.07,25061.2,-0.01,-0.07,14.436,14.301,14.073,43069.51,42749.32,46810.24
2019-09-26,14.58,14.59,14.21,14.2,40766.78,-0.3,-2.07,14.492,14.267,14.038,49503.92,43325.0,47964.77
2019-09-25,14.55,14.79,14.51,14.36,53517.31,0.0,0.0,14.49,14.244,14.013,48506.81,43359.96,49623.52
2019-09-24,14.71,14.79,14.51,14.45,40022.84,-0.24,-1.63,14.448,14.205,13.964,51221.43,42379.55,49328.34
2019-09-23,14.51,14.82,14.75,14.35,55979.43,0.27,1.86,14.324,14.179,13.914,49571.41,45548.19,50780.67
2019-09-20,14.11,14.58,14.48,14.11,57233.25,0.28,1.97,14.166,14.097,13.873,42429.12,45261.2,53735.69
2019-09-19,14.38,14.38,14.2,14.05,35781.24,-0.1,-0.7,14.042,14.05,13.833,37146.07,47068.17,54620.35
2019-09-18,13.82,14.36,14.3,13.82,67090.39,0.41,2.95,13.998,14.021,13.797,38213.11,49054.8,56056.52
2019-09-17,13.96,13.96,13.89,13.77,31772.72,-0.07,-0.5,13.962,13.964,13.748,33537.67,47242.21,55222.63
2019-09-16,13.8,14.03,13.96,13.8,20268.0,0.1,0.72,14.034,13.923,13.717,41524.98,48891.4,57218.29
2019-09-12,13.98,14.08,13.86,13.74,30818.02,-0.12,-0.86,14.028,13.844,13.671,48093.28,50871.17,60648.46
2019-09-11,14.25,14.25,13.98,13.88,41116.4,-0.14,-0.99,14.058,13.808,13.653,56990.26,52604.55,61205.47
2019-09-10,14.2,14.38,14.12,14.04,43713.19,-0.13,-0.91,14.044,13.782,13.616,59896.5,55887.07,60615.44
2019-09-09,13.88,14.42,14.25,13.88,71709.29,0.32,2.3,13.966,13.723,13.568,60946.75,56277.13,60138.05
2019-09-06,14.49,14.49,13.93,13.83,53109.48,-0.08,-0.57,13.812,13.648,13.515,56257.81,56013.15,59809.41
2019-09-05,13.97,14.06,14.01,13.83,75302.94,0.1,0.72,13.66,13.649,13.447,53649.07,62210.17,58024.73
2019-09-04,13.7,13.94,13.91,13.64,55647.61,0.18,1.31,13.558,13.615,13.379,48218.84,62172.53,55102.45
2019-09-03,13.5,13.78,13.73,13.48,48964.43,0.25,1.85,13.52,13.572,13.311,51877.64,63058.23,53146.55
2019-09-02,13.17,13.55,13.48,13.13,48264.59,0.31,2.35,13.48,13.531,13.25,51607.5,63203.06,52267.85
2019-08-30,13.62,13.62,13.17,13.16,40065.77,-0.33,-2.44,13.484,13.51,13.213,55768.49,65545.18,51119.82
2019-08-29,13.72,13.84,13.5,13.38,48151.78,-0.22,-1.6,13.638,13.498,13.196,70771.28,70425.76,50932.82
